Group,Levels,SubjectID,Run,A_C1W1T0,A_C2W1T0,L_C1W1T0,L_C2W1T0,A_C1W2T0,A_C2W2T0,L_C1W2T0,L_C2W2T0,A_C1W3T0,A_C2W3T0,L_C1W3T0,L_C2W3T0,A_C1W4T0,A_C2W4T0,L_C1W4T0,L_C2W4T0,A_C1W5T0,A_C2W5T0,L_C1W5T0,L_C2W5T0,lC_C1W1T0,cC_C1W1T0,rC_C1W1T0,lC_C1W2T0,cC_C1W2T0,rC_C1W2T0,lC_C1W3T0,cC_C1W3T0,rC_C1W3T0,lC_C1W4T0,cC_C1W4T0,rC_C1W4T0,lC_C1W5T0,cC_C1W5T0,rC_C1W5T0,lC_C2W1T0,cC_C2W1T0,rC_C2W1T0,lC_C2W2T0,cC_C2W2T0,rC_C2W2T0,lC_C2W3T0,cC_C2W3T0,rC_C2W3T0,lC_C2W4T0,cC_C2W4T0,rC_C2W4T0,lC_C2W5T0,cC_C2W5T0,rC_C2W5T0,A_C1W1T2,A_C2W1T2,L_C1W1T2,L_C2W1T2,A_C1W2T2,A_C2W2T2,L_C1W2T2,L_C2W2T2,A_C1W3T2,A_C2W3T2,L_C1W3T2,L_C2W3T2,A_C1W4T2,A_C2W4T2,L_C1W4T2,L_C2W4T2,A_C1W5T2,A_C2W5T2,L_C1W5T2,L_C2W5T2,lC_C1W1T2,cC_C1W1T2,rC_C1W1T2,lC_C1W2T2,cC_C1W2T2,rC_C1W2T2,lC_C1W3T2,cC_C1W3T2,rC_C1W3T2,lC_C1W4T2,cC_C1W4T2,rC_C1W4T2,lC_C1W5T2,cC_C1W5T2,rC_C1W5T2,lC_C2W1T2,cC_C2W1T2,rC_C2W1T2,lC_C2W2T2,cC_C2W2T2,rC_C2W2T2,lC_C2W3T2,cC_C2W3T2,rC_C2W3T2,lC_C2W4T2,cC_C2W4T2,rC_C2W4T2,lC_C2W5T2,cC_C2W5T2,rC_C2W5T2
control,70_70,21000-1,1,2.35E-06,3.06E-06,1.352459016,11.2704918,5.39E-06,6.36E-06,2.090163934,12.00819672,3.51E-06,5.12E-06,2.868852459,12.74590164,1.40E-06,1.85E-06,4.016393443,13.97540984,5.11E-07,5.72E-07,5.491803279,14.95901639,3.22E-05,0.000123405,8.05E-05,7.27E-05,0.000241862,0.000185223,0.000127102,0.000135384,5.19E-05,7.06E-06,3.92E-05,4.33E-05,1.55E-06,1.29E-05,9.75E-06,6.16E-05,0.000146442,8.72E-05,0.000114982,0.000310391,0.000197117,0.000100965,0.000176753,0.000140936,9.29E-06,2.97E-05,3.94E-05,3.97E-05,1.49E-05,1.65E-05,5.99E-06,5.10E-06,1.229508197,11.14754098,1.10E-05,1.17E-05,1.967213115,11.8852459,8.04E-06,9.07E-06,2.704918033,12.58196721,1.32E-06,2.18E-06,3.81147541,13.7295082,3.35E-07,8.56E-07,5.655737705,14.71311475,9.38E-05,0.000246923,7.34E-05,0.000182682,0.00048268,0.00035048,0.000244836,0.0003547,0.000156833,5.92E-05,0.000109025,4.97E-05,8.67E-06,3.80E-05,2.12E-05,9.98E-05,0.000259828,9.82E-05,0.000245623,0.000516291,0.000293077,0.000196868,0.000403017,0.000258202,3.33E-05,9.18E-05,7.84E-05,5.83E-05,3.15E-05,1.64E-05
control,70_90,21000-1,1,1.93E-06,4.92E-06,1.31147541,11.18852459,5.05E-06,8.30E-06,2.008196721,11.8852459,3.88E-06,5.93E-06,2.745901639,12.62295082,1.56E-06,1.88E-06,3.852459016,13.7295082,,3.92E-07,,15.08196721,5.19E-05,0.000124268,5.77E-05,6.72E-06,0.000216819,0.000221936,8.93E-05,0.000126837,7.45E-05,2.64E-05,3.23E-05,2.40E-05,,,,0.000110044,0.000225165,4.87E-05,9.27E-05,0.000473435,0.000347875,0.000102138,0.000189024,0.000159322,7.33E-05,9.16E-05,5.71E-05,9.90E-06,2.48E-05,9.23E-06,4.71E-06,5.49E-06,1.18852459,11.06557377,1.09E-05,1.64E-05,1.885245902,11.76229508,7.71E-06,5.14E-06,2.581967213,12.45901639,1.32E-06,,3.606557377,13.44262295,6.01E-07,7.37E-07,5.368852459,14.50819672,4.70E-05,0.000230012,0.000106543,0.000170711,0.000469025,0.000353382,0.000207053,0.000350422,0.000177147,5.63E-05,8.03E-05,4.73E-05,4.59E-06,4.17E-05,3.00E-05,8.88E-05,0.000326188,0.000139015,0.000258938,0.000743661,0.00042961,0.00031985,0.000374543,0.000228245,9.02E-05,0.000122303,7.97E-05,5.94E-05,4.12E-05,1.03E-05
control,90_90,21000-1,1,4.05E-06,4.36E-06,1.31147541,11.2295082,7.84E-06,8.06E-06,2.049180328,12.00819672,5.90E-06,7.00E-06,2.868852459,12.78688525,1.84E-06,1.43E-06,3.893442623,13.89344262,9.71E-07,9.72E-07,5.040983607,15,9.88E-05,0.000170234,6.06E-06,0.000187812,0.00044185,0.000248977,0.000163272,0.000180509,0.000126594,6.38E-05,7.87E-05,4.63E-05,2.10E-05,1.30E-05,3.87E-06,6.66E-05,0.000180279,7.55E-05,0.000215747,0.000420095,0.000196209,0.000213862,0.000239874,0.000128911,3.99E-05,7.01E-05,4.56E-05,2.12E-05,1.92E-05,9.26E-06,5.12E-06,4.90E-06,1.18852459,11.10655738,1.46E-05,1.31E-05,1.885245902,11.80327869,1.08E-05,9.67E-06,2.62295082,12.58196721,2.91E-06,1.72E-06,3.647540984,13.60655738,1.61E-06,2.52E-06,4.754098361,14.59016393,0.00012139,0.000301084,7.43E-05,0.0001419,0.000666305,0.000563926,0.000219095,0.000320313,0.000300958,0.000159632,0.000150535,5.85E-05,6.02E-05,4.79E-05,2.92E-05,0.000105133,0.000252105,0.0001,9.19E-05,0.000442468,0.000448118,0.000301796,0.000337777,0.000208597,0.000104144,9.58E-05,3.69E-05,7.77E-05,7.33E-05,2.98E-05
control,70_70,21001-1,1,5.52E-06,6.05E-06,1.352459016,11.2704918,5.40E-06,6.22E-06,2.131147541,12.04918033,3.56E-06,4.97E-06,2.909836066,12.78688525,2.21E-06,3.03E-06,4.016393443,13.93442623,1.15E-06,1.88E-06,4.959016393,14.83606557,0.000115199,0.000233179,0.000117654,0.000157952,0.000347986,0.000155091,0.000107135,0.000106614,5.58E-05,4.46E-05,7.76E-05,6.31E-05,4.44E-05,4.03E-05,2.22E-05,0.000157025,0.000295393,0.000138986,0.000221946,0.000402916,0.000143694,0.000115677,0.000146785,6.95E-05,6.31E-05,9.62E-05,5.34E-05,5.39E-05,3.93E-05,1.99E-05,5.65E-06,6.98E-06,1.352459016,11.2704918,5.96E-06,5.90E-06,2.172131148,12.09016393,4.21E-06,5.07E-06,2.950819672,12.86885246,2.50E-06,2.55E-06,4.180327869,14.09836066,1.01E-06,3.27E-06,5.245901639,15.12295082,8.42E-05,0.000170219,0.000105706,0.000175958,0.000294282,0.000163905,0.000115824,0.000156491,8.09E-05,3.35E-05,7.91E-05,7.52E-05,3.95E-05,5.09E-05,2.12E-05,0.00011901,0.000248088,0.000121218,0.000249182,0.000349089,0.000137489,0.000142539,0.000188403,9.09E-05,4.35E-05,8.07E-05,7.40E-05,2.61E-05,5.49E-05,3.05E-05
control,70_90,21001-1,1,5.20E-06,9.95E-06,1.31147541,11.18852459,5.51E-06,7.60E-06,2.049180328,11.92622951,4.09E-06,7.35E-06,2.786885246,12.66393443,2.00E-06,1.97E-06,3.852459016,13.81147541,7.63E-07,6.50E-07,4.754098361,14.63114754,0.000105117,0.00023003,0.000109986,8.81E-05,0.000316783,0.000205949,6.94E-05,0.000119844,0.000112102,4.44E-05,5.62E-05,5.72E-05,4.43E-05,4.71E-05,1.35E-05,0.000246053,0.000321677,4.34E-05,0.000378101,0.000568278,0.000113106,0.000138452,0.000286115,0.000161199,9.86E-05,8.99E-05,2.93E-05,4.29E-05,3.20E-05,8.18E-06,5.51E-06,8.52E-06,1.31147541,11.18852459,6.04E-06,9.13E-06,2.131147541,11.96721311,4.52E-06,7.44E-06,2.868852459,12.78688525,2.35E-06,2.42E-06,4.057377049,13.89344262,6.78E-07,1.41E-06,5.081967213,14.91803279,5.11E-05,0.000156584,0.000109853,0.000217428,0.000285406,9.65E-05,8.68E-05,0.000132932,9.16E-05,3.93E-05,7.93E-05,8.75E-05,4.00E-05,3.08E-05,9.87E-06,0.00016139,0.000298126,0.000110323,0.000290866,0.000500985,0.000248671,0.000164386,0.000206172,0.000139954,8.37E-05,9.79E-05,6.34E-05,3.29E-05,2.15E-05,1.69E-05
control,90_90,21001-1,1,8.88E-06,9.77E-06,1.270491803,11.18852459,6.49E-06,6.84E-06,2.049180328,11.96721311,6.15E-06,8.35E-06,2.827868852,12.78688525,1.99E-06,1.90E-06,3.93442623,13.89344262,1.02E-06,1.44E-06,4.87704918,14.75409836,0.000136499,0.000293809,8.72E-05,0.000233642,0.000476097,0.000181756,0.000144275,0.000277213,0.000145,8.98E-05,0.000112053,5.54E-05,2.24E-05,3.03E-05,3.18E-05,0.000117792,0.000274925,0.000122941,0.000185043,0.0004759,0.000249781,0.00024479,0.00029353,0.000144472,0.000109416,9.55E-05,3.27E-05,2.74E-05,3.67E-05,3.37E-05,8.04E-06,7.68E-06,1.270491803,11.2295082,8.47E-06,7.83E-06,2.090163934,12.04918033,7.65E-06,8.64E-06,2.950819672,12.90983607,2.12E-06,1.65E-06,4.057377049,14.05737705,1.01E-06,1.57E-06,5.204918033,15.04098361,6.92E-05,0.000235887,0.000148458,0.000198868,0.000422083,0.000260823,0.000147936,0.000233734,0.000170825,9.27E-05,0.000114912,5.60E-05,3.81E-05,3.17E-05,9.67E-06,0.000145432,0.000231633,8.35E-05,0.000263375,0.000336961,0.0001447,0.000226132,0.000269036,0.000128278,7.53E-05,8.48E-05,3.09E-05,2.80E-05,3.95E-05,2.09E-05
control,70_70,21001-2,1,7.59E-06,8.51E-06,1.270491803,11.18852459,8.93E-06,1.02E-05,2.090163934,12.00819672,5.45E-06,6.84E-06,2.827868852,12.70491803,4.11E-06,3.93E-06,4.016393443,13.93442623,1.64E-06,1.86E-06,4.87704918,14.79508197,9.25E-05,0.000282227,0.000143326,0.00020977,0.000414123,0.000245873,0.000184893,0.000247218,0.000111718,9.82E-05,0.000129078,8.20E-05,7.07E-05,6.23E-05,2.56E-05,0.000109597,0.000324876,0.000183366,0.000308772,0.000474303,0.000192391,0.000139643,0.00029227,0.000190866,9.68E-05,0.000114778,8.75E-05,6.05E-05,3.76E-05,1.42E-05,5.96E-06,6.91E-06,1.31147541,11.2295082,7.32E-06,8.20E-06,2.172131148,12.04918033,5.77E-06,6.94E-06,2.909836066,12.78688525,2.24E-06,2.41E-06,4.098360656,13.97540984,6.76E-07,1.77E-06,5.163934426,15,6.15E-05,0.000256415,0.000157474,0.000266336,0.000367289,0.000150393,0.000151339,0.000175838,9.18E-05,5.57E-05,8.49E-05,5.60E-05,1.79E-05,2.46E-05,8.01E-06,9.12E-05,0.000314427,0.000185447,0.000190602,0.000444114,0.000270551,0.000134659,0.000216161,0.00013291,3.88E-05,9.90E-05,7.60E-05,1.96E-05,4.13E-05,4.12E-05
control,70_90,21001-2,1,6.32E-06,1.00E-05,1.270491803,11.10655738,8.12E-06,1.10E-05,2.049180328,11.8852459,5.51E-06,7.15E-06,2.745901639,12.58196721,4.22E-06,6.23E-06,3.893442623,13.7295082,1.08E-06,2.21E-06,4.754098361,14.54918033,0.000121766,0.000229582,6.69E-05,0.000198664,0.000342928,0.000190194,0.000118988,0.000194506,0.000138394,8.94E-05,0.000157742,0.000122296,6.86E-05,5.91E-05,2.60E-05,0.000127752,0.000390749,0.000179615,0.000353872,0.000623393,0.000284517,0.00016574,0.000252298,0.00012449,0.000196008,0.00023956,0.000120391,8.62E-05,5.16E-05,2.32E-05,5.71E-06,9.93E-06,1.31147541,11.14754098,6.90E-06,9.80E-06,2.131147541,11.92622951,6.56E-06,8.52E-06,2.868852459,12.70491803,1.87E-06,2.86E-06,3.975409836,13.85245902,4.02E-07,7.51E-07,5,14.83606557,0.000128331,0.000249228,6.63E-05,0.000255722,0.000328732,0.000129485,0.000144661,0.00018673,0.000112895,4.16E-05,7.17E-05,6.76E-05,3.59E-05,3.42E-05,9.20E-06,0.000152899,0.000389777,0.0001,0.000224236,0.000552109,0.00033129,0.000192562,0.000283183,0.000173593,7.58E-05,0.00012344,8.79E-05,2.56E-05,3.69E-05,2.76E-05
control,90_90,21001-2,1,9.11E-06,8.77E-06,1.18852459,11.10655738,1.15E-05,1.06E-05,2.008196721,11.92622951,7.78E-06,7.32E-06,2.745901639,12.66393443,6.30E-06,4.93E-06,3.852459016,13.7704918,1.18E-06,2.12E-06,4.795081967,14.67213115,4.71E-05,0.000334315,0.000200971,0.000329302,0.000544524,0.00026326,0.000215999,0.000232821,9.16E-05,0.000178672,0.00025021,0.00015165,3.97E-05,4.21E-05,3.02E-05,6.64E-05,0.000329061,0.00021521,0.000285981,0.000472836,0.000203153,0.000234012,0.000228934,7.37E-05,0.000125844,0.00020656,0.000153703,4.36E-05,3.00E-05,4.54E-05,8.60E-06,8.50E-06,1.229508197,11.14754098,8.52E-06,8.43E-06,2.049180328,12.00819672,7.81E-06,9.31E-06,2.827868852,12.78688525,3.19E-06,1.75E-06,3.975409836,13.97540984,9.59E-07,7.69E-07,5.040983607,14.95901639,3.36E-05,0.000323136,0.000180412,0.00017724,0.000460845,0.000321933,0.00013414,0.000288322,0.000201441,9.36E-05,0.000138778,0.000108794,3.89E-05,3.71E-05,2.45E-06,7.15E-05,0.000310212,0.000178522,0.000256038,0.000418597,0.000131366,0.000106421,0.000241548,0.000205707,8.47E-05,7.98E-05,3.07E-05,3.86E-05,6.89E-05,2.81E-05
control,70_70,21001-3,1,4.80E-06,5.40E-06,1.31147541,11.2295082,5.68E-06,6.36E-06,2.090163934,12.00819672,3.96E-06,4.32E-06,2.868852459,12.78688525,1.71E-06,2.35E-06,4.016393443,13.93442623,7.84E-07,1.59E-06,5.12295082,15,8.95E-05,0.000200271,9.96E-05,6.92E-05,0.000266734,0.00022771,8.77E-05,0.000124755,7.63E-05,5.71E-05,4.80E-05,2.02E-05,1.60E-05,1.37E-05,1.32E-05,0.000117913,0.000248364,0.000113422,0.000133657,0.000347485,0.00023384,0.000121069,0.000161368,6.37E-05,4.76E-05,4.42E-05,4.45E-05,3.49E-06,9.97E-06,1.25E-05,2.87E-06,3.30E-06,1.31147541,11.2295082,5.96E-06,6.68E-06,2.172131148,12.04918033,2.52E-06,2.94E-06,2.991803279,12.86885246,1.42E-06,1.74E-06,4.057377049,14.01639344,6.86E-07,1.29E-06,5.491803279,15.28688525,5.40E-05,0.000144831,7.75E-05,0.000117042,0.00025087,0.000157384,8.57E-05,0.000104159,3.41E-05,4.71E-05,2.98E-05,1.61E-05,6.68E-06,1.53E-05,1.18E-05,5.90E-05,0.000170085,0.000101919,6.19E-05,0.000276984,0.000272652,7.12E-05,0.000139311,7.45E-05,2.75E-05,2.67E-05,1.78E-05,9.87E-06,2.58E-05,2.23E-05
